provincia,organismo,matricula,hex,tipo,categoria,estado,confianza,titular_registrado,fuente,notas
Chaco,Charter usado por la gobernación,LV-CIO,E0324F,Learjet 60,avión,activo,MEDIA,Baires Fly,hexdb / SoloChaco,"Titular: Baires Fly (charter, NO propiedad provincial)"
Chaco,Gobierno de Chaco,LV-MDN,E0D10E,Rockwell 690B Turbo Commander,avión,activo,ALTA,Magrosal SRL,Airliners.net / Zona Militar,"Transporte, logística y vuelos sanitarios"
Chubut,Gobierno de Chubut,LV-CKA,E032C1,Learjet 60XR,avión,activo,CRUCE BD,Governor of Chubut Province,hexdb (titular),Titular registrado: Governor of Chubut Province
Chubut,Gobierno de Chubut,LV-BEM,E0214D,Hawker 400XP,avión,activo,ALTA,Governor of Chubut Province,Digesto Chubut / airhistory,Avión sanitario y traslados oficiales
Chubut,Gobierno de Chubut,LV-WPB,E17402,Beechcraft King Air C90B,avión,activo,ALTA,Governor of Chubut Province,Aeromarket / jetphotos,Traslados ejecutivos y vuelos sanitarios
Chubut,Charter usado por la gobernación,LV-FUT,E06554,Learjet 60,avión,charter,CRUCE BD,Excel Servicios Aereos,lista aeronáutica / hexdb,Titular: Excel Servicios Aereos. Trasladó al gob. Mariano Arcioni (NO es propiedad provincial)
Córdoba,Gobierno de Córdoba,LQ-HBQ,E08091,Learjet 60,avión,,MEDIA,Governor of Cordoba Province,La Nación / Perfil,Avión 'sanitario'/gobernación; matrícula a confirmar
Córdoba,Gobierno de Córdoba,LQ-BAN,E0204E,Beechcraft Super King Air 350 (B300),avión,activo,ALTA,Governor of Cordoba Province,Airliners.net / TC Córdoba,Vuelos sanitarios y traslados oficiales
Córdoba,Gobierno de Córdoba,LV-KOW,,Air Tractor AT-802 (Fuego),avión,activo,ALTA,,aporte usuario (pista18),Avión hidrante; flota contra incendios forestales
Corrientes,Dirección Provincial de Aeronáutica,LV-WJO,E1728F,Cessna 550 Citation II,avión,activo,ALTA,Governor of Corrientes Province,HCD Corrientes Expte 17504/2023,S/N 550-0728 (ex LV-PHN). Propiedad del Gobierno de Corrientes
Corrientes,Dirección Provincial de Aeronáutica,LV-WYR,E17652,Cessna 208B Grand Caravan,avión,activo,ALTA,Governor of Corrientes Province,ASN / hexdb / aerospotter,S/N 208B-0598 (ex LV-PMX). Incidente menor Resistencia 04/09/2009
Corrientes,Dirección Provincial de Aeronáutica,LV-ZNU,E1A395,Cessna 208B Grand Caravan,avión,activo,ALTA,Transportes Bragado,aerospotter 2009,S/N 208B-0718 (ex LV-POC)
Corrientes,Dirección Provincial de Aeronáutica,LV-BDI,,Bell 407,helicóptero,activo,ALTA,,aerospotter 2009,S/N 53649 (ex N46375)
Entre Ríos,Policía de Entre Ríos,LQ-BII,,Bell 427,helicóptero,activo,ALTA,,Airliners.net (álbum),S/N 56060. Helicóptero policial provincial
Formosa,Gobierno de Formosa,LV-BIV,E02256,Cessna 208B Grand Caravan,avión,activo,ALTA,Government of Argentina,Planespotters / hexdb,Confirmado Gobierno de Formosa (BD figura 'Government of Argentina')
Jujuy,Coordinación Aeronáutica de Jujuy,LQ-BMH,E02348,Cessna Citation Excel,avión,activo,CRUCE BD,Banco Macro SA,Coord. Jujuy + hexdb,Prefijo LQ estatal. BD figura 'Banco Macro SA' (registro a actualizar)
Jujuy,Coordinación Aeronáutica de Jujuy,LQ-KOR,,Learjet 31A,avión,activo,ALTA,,Coord. Jujuy / FR24,Matrícula reportada en FlightRadar24; hex a resolver
Jujuy,Coordinación Aeronáutica de Jujuy,LQ-HVN,,Airbus H125,helicóptero,activo,ALTA,,Vía Jujuy / helis.com,Sanitario; S/N 8401 (2017). Hex no listado aún
La Pampa,Gobierno de La Pampa,LQ-JVH,,Learjet 60,avión,activo,ALTA,,La Nación 2024,"Jet de la gobernación, comprado ~US$2M"
La Rioja,Gobierno de La Rioja,LQ-WTN,E1750E,Cessna 650 Citation VII,avión,activo,ALTA,Ledesma SAAI,Planespotters / Ley 10.722/2024,Base IRJ. Ley 2024 autoriza venta y compra de nuevo sanitario
La Rioja,Charter usado por la gobernación,LV-YLC,E19303,Beechcraft King Air B350,avión,charter,CRUCE BD,Aero Baires SA,lista aeronáutica / hexdb,Titular: Aero Baires SA. Trasladó al gob. Sergio Casas (NO es propiedad provincial)
Mendoza,Gobierno de Mendoza,,,Avión sanitario (a confirmar tipo),avión,,MEDIA,,Diario Textual 2020,Comprado 2020 ~US$2M para traslados sanitarios
Misiones,Policía de Misiones,,,Eurocopter EC130 B4,helicóptero,,MEDIA,,prensa 2010,"Comprado 2010 ~US$3,1M; usado por la gobernación"
Misiones,Policía de Misiones,LQ-WHT,E17214,Bell 206B JetRanger II,helicóptero,activo,ALTA,Private,Airliners.net (álbum),S/N 4293
Misiones,Charter usado por la gobernación,LV-BBG,E1028C,Hawker 125-800XP,avión,charter,CRUCE BD,Sullair Argentina SA,lista aeronáutica / hexdb,Titular: Sullair Argentina SA. Trasladó al gob. Hugo Passalacqua (NO es propiedad provincial)
Neuquén,Dirección Provincial de Aeronáutica,LV-AXO,E0160F,Beechcraft B200 King Air,avión,activo,ALTA,Facchini Servicios Aereos SA,Foto Aeronáutica Neuquén,Flota oficial provincial
Neuquén,Dirección Provincial de Aeronáutica,LV-BDM,E0210D,Learjet 31A,avión,activo,ALTA,Governor of Salta Province,Foto Aeronáutica Neuquén,Canje con Salta 2009
Neuquén,Dirección Provincial de Aeronáutica,LV-CIP,E03250,Bell 429,helicóptero,activo,ALTA,Private,Foto Aeronáutica Neuquén,Helicóptero oficial
Neuquén,Dirección Provincial de Aeronáutica,LQ-BBR,E02092,Bell 407,helicóptero,activo,ALTA,Province of Nequen Police,Foto Aeronáutica Neuquén,Gobierno de la Provincia del Neuquén
Río Negro,Gobierno de Río Negro,LV-KFB,E0B182,Cessna Citation V Ultra,avión,vendido/subasta 2024,ALTA,The Government of Rio Negro,Aviacionline 2024,Subastado en 2024
Salta,Dirección Aeron. de Aviación Civil Salta,LV-ARD,E01484,Learjet 45XR,avión,activo,VERIF. ANAC,Governor of Salta Province,ANAC (Afectación),"S/N 232, afect. 25/04/2005. Operador comercial registrado"
Salta,Dirección Aeron. de Aviación Civil Salta,LV-BXD,E02604,Learjet 45,avión,activo,VERIF. ANAC,Governor of Salta Province,ANAC (Afectación),"S/N 254, afect. 17/07/2012"
San Juan,Gobierno de San Juan,LQ-IJK,E0928B,Learjet 75,avión,activo,CRUCE BD,Governor of San Juan Province,hexdb (titular),Titular registrado: Governor of San Juan Province
San Juan,Gobierno de San Juan,LQ-YHC,E19203,Cessna 550 Citation II,avión,vendido 2019 (subasta),ALTA,Governor of San Juan Province,Diario de Cuyo / aerospotter 2019,Subastado abr-2019 a Ivica y Antonio Dumandzic S.A. (ya no es provincial)
San Juan,Dirección de Aeronáutica de San Juan,LQ-BHT,,Bell 407,helicóptero,accidentado 2013,ALTA,,Wikipedia / JST / álbum,ex LV-BHT (S/N 53735). Accidente 11/10/2013 en Valle Fértil (gob. Gioja a bordo)
San Luis,Gobierno de San Luis,,,(a relevar),,,BAJA,,-,Histórico: flota provincial amplia; relevar actual
Santa Cruz,Gobierno de Santa Cruz,LV-KJY,E0B299,Pilatus PC-24,avión,activo,ALTA,Provincia de Santa Cruz,Gob. Santa Cruz 2023,"Sanitario 'La Cruz del Sur', registrado 19/09/2023"
Santa Fe,Dir. Prov. de Movilidad y Aeronáutica,LQ-BIN,,Eurocopter AS350 B2,helicóptero,activo,ALTA,,Boletín Oficial Santa Fe,Helicóptero oficial
Santa Fe,Dir. Prov. de Movilidad y Aeronáutica,LV-CLE,,Beechcraft Baron 58P,avión,activo,ALTA,,Boletín Oficial Santa Fe,Avión oficial
Santa Fe,Dir. Prov. de Movilidad y Aeronáutica,LV-FKW,,Beechcraft Baron 58P,avión,activo,ALTA,,Boletín Oficial Santa Fe,Avión oficial
Santa Fe,Dir. Prov. de Movilidad y Aeronáutica,,,Agusta AW109,helicóptero,activo,MEDIA,,Gob. Santa Fe,Emergencias/patrullaje policial; matrícula a verificar
Santa Fe,Dir. Prov. de Movilidad y Aeronáutica,,,Air Tractor AT-802 Fire Boss,avión,en incorporación,MEDIA,,aporte usuario (pista18),Adquirido; pendiente de traslado (certificación de pilotos en EE.UU.)
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-KKX,E0B2D8,Beechcraft Super King Air 200,avión,activo,ALTA,Governor of Santiago del Estero,Zona Militar / prensa,"Comprado ~US$2,95M (gob. Zamora)"
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-CPS,E03413,Learjet 45,avión,activo,ALTA,Governor of Santiago del Estero Province,avionesenezeiza 2020,Visto en Ezeiza
Santiago del Estero,Dirección Provincial de Aeronáutica,LV-KJS,,Boeing 737 Fireliner (hidrante),avión,activo,ALTA,,aporte usuario,Avión hidrante contra incendios
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-BFS,E02193,Learjet 40,avión,activo,ALTA,Governor of Santiago del Estero Province,Airliners.net / lista aeronáutica,S/N 45-2003. Trasladó al gob. Zamora (también citado como LV-BFS)
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-ZRB,E1A482,Raytheon King Air C90A,avión,activo,ALTA,Governor of Santiago del Estero Province,Airliners.net (álbum),S/N LJ-1552
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-BIZ,,Bell 427,helicóptero,activo,ALTA,,Airliners.net (álbum),S/N 56042
Santiago del Estero,Dirección Provincial de Aeronáutica,LQ-ZNT,,Bell 206B JetRanger II,helicóptero,activo,ALTA,,Airliners.net (álbum),S/N 4499
Santiago del Estero,Dirección Provincial de Aeronáutica,LV-MIS,E0D253,Pilatus PC-6 Turbo Porter,avión,activo,ALTA,Provincial de Aviacion de Santiago del Estero,Airliners.net (álbum),S/N 793
Tierra del Fuego,Dirección de Aviación de Tierra del Fuego,LV-AIT,E01254,Gates Learjet 35A,avión,activo,ALTA,Direccion de Aeronautica,Airliners.net,MSN 35A-408. Sanitario/oficial
Tierra del Fuego,Dir. Prov. de Aeronavegación Oficial,LV-MTP,E0D510,IAI-201 Arava,avión,activo,ALTA,Governor of Tierra del Fuego Province,Gob. Tierra del Fuego 2020,Transporte de carga sanitaria entre ciudades de la provincia
Tucumán,Gobierno de Tucumán,LV-BEU,E02155,Cessna 550B Citation Bravo,avión,activo,ALTA,Corporate,MSP Tucumán 2024 / spotter,MSN 1120. Usado sanitario+protocolar; service en Paraguay 2024 (gob. Jaldo). (LV-CKA era de Chubut)
CABA,Gobierno de la Ciudad,,,(a relevar),,,BAJA,,-,Relevar; mayormente usa charters
